Model name,Number of cores,Number of cycles, Number of configs found
fischer.2,4,8905,13
fischer.2,8,5824,13
fischer.2,16,3341,13
fischer.6,1,103650,25
fischer.6,2,56950,25
fischer.6,4,33600,25
fischer.6,8,21925,25
fischer.6,16,16000,25
fischer.1,1,15710,10
fischer.1,2,8670,10
fischer.1,4,4790,10
fischer.1,8,3080,10
fischer.1,16,2090,10
fischer.3,1,59204,19
fischer.3,2,32585,19
fischer.3,4,19209,19
fischer.3,8,11837,19
fischer.3,16,8303,19
resistance.1,1,31458,21
resistance.1,2,18186,21
resistance.1,4,10059,21
resistance.1,8,6006,21
resistance.1,16,3927,21
resistance.2,1,45456,24
resistance.2,2,26016,24
resistance.2,4,14256,24
resistance.2,8,8304,24
resistance.2,16,6384,24
rushhour.1,1,28320,10
rushhour.1,2,14580,10
rushhour.1,4,9210,10
rushhour.1,8,5510,10
rushhour.1,16,3468,12
rushhour.4,1,81248,16
rushhour.4,2,41504,16
rushhour.4,4,22336,16
rushhour.4,8,12192,16
rushhour.4,16,6592,16
rushhour.2,1,35453,11
rushhour.2,2,19173,11
rushhour.2,4,11033,11
rushhour.2,8,6072,11
rushhour.2,16,4477,11
rushhour.3,1,81248,16
rushhour.3,2,41504,16
rushhour.3,4,22336,16
rushhour.3,8,12192,16
rushhour.3,16,6592,16
gear.1,1,180462,38
gear.1,2,113240,38
gear.1,4,56772,38
gear.1,8,29830,38
gear.1,16,16036,38
gear.2,1,180462,38
gear.2,2,111720,38
gear.2,4,55062,38
gear.2,8,28576,38
gear.2,16,16036,38
public_subscribe.1,1,308553,49
public_subscribe.1,2,208887,49
public_subscribe.1,4,107457,49
public_subscribe.1,8,61642,49
public_subscribe.1,16,31066,49
public_subscribe.5,1,2118925,131
public_subscribe.5,2,1431699,131
public_subscribe.5,4,856609,131
public_subscribe.5,8,452081,131
public_subscribe.5,16,227678,131
public_subscribe.3,1,934304,86
public_subscribe.3,2,637174,86
public_subscribe.3,4,324048,86
public_subscribe.3,8,177848,86
public_subscribe.3,16,100878,86
public_subscribe.2,1,934304,86
public_subscribe.2,2,637174,86
public_subscribe.2,4,367134,86
public_subscribe.2,8,196854,86
public_subscribe.2,16,106124,86
public_subscribe.4,1,934304,86
public_subscribe.4,2,637174,86
public_subscribe.4,4,346580,86
public_subscribe.4,8,185244,86
public_subscribe.4,16,100362,86
firewire_tree.3,1,31777728,456
firewire_tree.3,2,17317968,456
firewire_tree.3,4,10214856,456
firewire_tree.3,8,5393568,456
firewire_tree.3,16,3132720,456
firewire_tree.2,1,7162091,223
firewire_tree.2,2,3675040,223
firewire_tree.2,4,1954595,223
firewire_tree.2,8,1121021,223
firewire_tree.2,16,614142,223
firewire_tree.4,1,56683200,600
firewire_tree.4,2,31734600,600
firewire_tree.4,4,19532400,600
firewire_tree.4,8,10499400,600
firewire_tree.4,16,5553000,600
firewire_tree.1,1,31581148,454
firewire_tree.1,2,17336444,454
firewire_tree.1,4,10169146,454
firewire_tree.1,8,5369004,454
firewire_tree.1,16,3118072,454
firewire_tree.5,1,221774464,1136
firewire_tree.5,2,130328736,1136
firewire_tree.5,4,85474912,1136
firewire_tree.5,8,47615440,1136
firewire_tree.5,16,24460352,1136
elevator_planning.2,1,37352,8
elevator_planning.2,2,32064,8
elevator_planning.2,4,21392,8
elevator_planning.2,8,11368,8
elevator_planning.2,16,7616,8
elevator_planning.3,1,13810,5
elevator_planning.3,2,13050,5
elevator_planning.3,4,10410,5
elevator_planning.3,8,5720,5
elevator_planning.3,16,3375,5
elevator_planning.1,1,20082,6
elevator_planning.1,2,17136,6
elevator_planning.1,4,9924,6
elevator_planning.1,8,5700,6
elevator_planning.1,16,2886,6
brp.5,1,106596,27
brp.5,2,82728,27
brp.5,4,42984,27
brp.5,8,23922,27
brp.5,16,13230,27
brp.3,1,101466,27
brp.3,2,69174,27
brp.3,4,36045,27
brp.3,8,21492,27
brp.3,16,14310,27
brp.1,1,95342,26
brp.1,2,61776,26
brp.1,4,36946,26
brp.1,8,22204,26
brp.1,16,10374,26
brp.4,1,106596,27
brp.4,2,82728,27
brp.4,4,43065,27
brp.4,8,27297,27
brp.4,16,16038,27
brp.6,1,110997,27
brp.6,2,91557,27
brp.6,4,48789,27
brp.6,8,29781,27
brp.6,16,18927,27
brp.2,1,92326,26
brp.2,2,61984,26
brp.2,4,36738,26
brp.2,8,18200,26
brp.2,16,10374,26
exit.3,1,1219530,78
exit.3,2,617136,78
exit.3,4,325650,78
exit.3,8,178074,78
exit.3,16,124956,78
exit.4,1,1219530,78
exit.4,2,617136,78
exit.4,4,325650,78
exit.4,8,178074,78
exit.4,16,124956,78
exit.2,1,1219530,78
exit.2,2,617136,78
exit.2,4,325650,78
exit.2,8,178074,78
exit.2,16,124956,78
exit.5,1,2773354,118
exit.5,2,1408684,118
exit.5,4,715434,118
exit.5,8,390226,118
exit.5,16,219008,118
exit.1,1,295146,38
exit.1,2,153140,38
exit.1,4,81244,38
exit.1,8,53808,38
exit.1,16,30514,38
plc.3,1,558189520,181
plc.3,2,556038154,181
plc.3,4,303106944,181
plc.3,8,279028333,181
plc.3,16,277587573,181
plc.1,1,558189520,181
plc.1,2,556038154,181
plc.1,4,303106944,181
plc.1,8,279028333,181
plc.1,16,277587573,181
plc.2,1,558189520,181
plc.2,2,556038154,181
plc.2,4,303106944,181
plc.2,8,279028333,181
plc.2,16,277587573,181
plc.4,1,558189520,181
plc.4,2,556038154,181
plc.4,4,303106944,181
plc.4,8,279028333,181
plc.4,16,277587573,181
elevator.1,1,132572,22
elevator.1,2,70092,22
elevator.1,4,44946,22
elevator.1,8,30756,22
elevator.1,16,18700,22
elevator.3,1,205368,24
elevator.3,2,125472,24
elevator.3,4,66264,24
elevator.3,8,42576,24
elevator.3,16,30480,24
elevator.2,1,85356,18
elevator.2,2,45684,18
elevator.2,4,26856,18
elevator.2,8,17568,18
elevator.2,16,9216,18
elevator.4,1,181584,26
elevator.4,2,102648,26
elevator.4,4,56914,26
elevator.4,8,42692,26
elevator.4,16,28912,26
elevator.5,1,331673,29
elevator.5,2,201231,29
elevator.5,4,110780,29
elevator.5,8,81142,29
elevator.5,16,49503,29
cyclic_scheduler.2,1,75777,29
cyclic_scheduler.2,2,39237,29
cyclic_scheduler.2,4,25752,29
cyclic_scheduler.2,8,14413,29
cyclic_scheduler.2,16,7714,29
cyclic_scheduler.3,1,505944,72
cyclic_scheduler.3,2,271224,72
cyclic_scheduler.3,4,145152,72
cyclic_scheduler.3,8,76464,72
cyclic_scheduler.3,16,46080,72
cyclic_scheduler.4,1,244036,52
cyclic_scheduler.4,2,136396,52
cyclic_scheduler.4,4,71344,52
cyclic_scheduler.4,8,44096,52
cyclic_scheduler.4,16,21840,52
cyclic_scheduler.1,1,195570,45
cyclic_scheduler.1,2,101160,45
cyclic_scheduler.1,4,55935,45
cyclic_scheduler.1,8,30420,45
cyclic_scheduler.1,16,17190,45
lann.3,1,65688,17
lann.3,2,38624,17
lann.3,4,19550,17
lann.3,8,10965,17
lann.3,16,7650,17
lann.7,1,101472,21
lann.7,2,59682,21
lann.7,4,30912,21
lann.7,8,15792,21
lann.7,16,8400,21
lann.1,1,35971,13
lann.1,2,19006,13
lann.1,4,10855,13
lann.1,8,5980,13
lann.1,16,4316,13
lann.8,1,107800,22
lann.8,2,59752,22
lann.8,4,31460,22
lann.8,8,16500,22
lann.8,16,10318,22
lann.4,1,158456,29
lann.4,2,87812,29
lann.4,4,45269,29
lann.4,8,23664,29
lann.4,16,13804,29
lann.5,1,164538,27
lann.5,2,90963,27
lann.5,4,47142,27
lann.5,8,24165,27
lann.5,16,13257,27
lann.6,1,92026,22
lann.6,2,55154,22
lann.6,4,28094,22
lann.6,8,15026,22
lann.6,16,8360,22
lann.2,1,67813,17
lann.2,2,38539,17
lann.2,4,20978,17
lann.2,8,9928,17
lann.2,16,6103,17
leader_election.5,1,2815761,137
leader_election.5,2,2055000,137
leader_election.5,4,1139840,137
leader_election.5,8,745280,137
leader_election.5,16,373325,137
leader_election.1,1,1097945,85
leader_election.1,2,800615,85
leader_election.1,4,444465,85
leader_election.1,8,258570,85
leader_election.1,16,220065,85
leader_election.6,1,3557092,154
leader_election.6,2,2588740,154
leader_election.6,4,1463308,154
leader_election.6,8,916300,154
leader_election.6,16,488026,154
leader_election.4,1,2160960,120
leader_election.4,2,1574640,120
leader_election.4,4,999960,120
leader_election.4,8,541200,120
leader_election.4,16,285480,120
leader_election.2,1,1097945,85
leader_election.2,2,800615,85
leader_election.2,4,408085,85
leader_election.2,8,229925,85
leader_election.2,16,165495,85
leader_election.3,1,1592689,103
leader_election.3,2,1163694,103
leader_election.3,4,596370,103
leader_election.3,8,341342,103
leader_election.3,16,248230,103
sorter.5,1,267473,37
sorter.5,2,167573,37
sorter.5,4,83953,37
sorter.5,8,48840,37
sorter.5,16,29859,37
sorter.2,1,123396,26
sorter.2,2,73242,26
sorter.2,4,38844,26
sorter.2,8,24024,26
sorter.2,16,14170,26
sorter.3,1,264957,37
sorter.3,2,165575,37
sorter.3,4,82695,37
sorter.3,8,47249,37
sorter.3,16,28453,37
sorter.4,1,266215,37
sorter.4,2,166833,37
sorter.4,4,83953,37
sorter.4,8,48840,37
sorter.4,16,28453,37
sorter.1,1,122512,26
sorter.1,2,72358,26
sorter.1,4,38948,26
sorter.1,8,23036,26
sorter.1,16,13806,26
adding.3,1,801,3
adding.3,2,414,3
adding.3,4,357,3
adding.3,8,980,4
adding.3,16,3584,7
adding.6,1,801,3
adding.6,2,414,3
adding.6,4,357,3
adding.6,8,980,4
adding.6,16,3584,7
adding.2,1,801,3
adding.2,2,414,3
adding.2,4,357,3
adding.2,8,980,4
